"","...1","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","group","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"1",1,"Beitbridge",2016,"10",0.097821031030918,0.129833459216258,0.0881726495242998,"A",0,0,0,0,0,0,1,1,1
"2",2,"Beitbridge",2016,"11",0.108382260504614,0.149633805756986,0.0882228799647829,"B",0,0,0,0,0,0,1,1,1
"3",3,"Beitbridge",2016,"12",0.246021011314873,0.395177667054212,0.104175298246822,"C",0,0,0,0,0,0,1,1,1
"4",4,"Beitbridge",2017,"01",0.335244710602661,0.382200163742616,0.310161179669659,"D",0,0,0,0,0,0,1,1,1
"5",5,"Beitbridge",2017,"02",0.407514145494619,0.570820600019898,0.24608478761416,"E",1,1,0,0,0,0,0,0,1
"6",6,"Beitbridge",2017,"03",0.262100102247979,0.439999585886514,0.128837374843129,"F",0,1,0,0,0,0,1,0,1
"7",7,"Beitbridge",2017,"04",0.125436011219503,0.163260676516029,0.100970508922617,"G",0,0,0,0,0,0,1,1,1
"8",8,"Beitbridge",2017,"05",0.126267310759507,0.172201933700742,0.0988462688012118,"H",0,0,0,0,0,0,1,1,1
"9",9,"Bikita",2016,"10",0.100029302229694,0.125099698889823,0.0896718950661462,"A",0,0,0,0,0,0,1,1,1
"10",10,"Bikita",2016,"11",0.220589302870329,0.404458516077569,0.090923676517313,"B",0,1,0,0,0,0,1,0,1
"11",11,"Bikita",2016,"12",0.603440149273801,0.853817797863874,0.202943557416152,"C",1,0,0,0,1,0,0,0,1
"12",12,"Bikita",2017,"01",0.91110056233627,0.983606314481729,0.746157669997011,"D",0,0,1,1,1,0,0,0,0
"13",13,"Bikita",2017,"02",0.751773872990231,0.901952192531383,0.591315466812454,"E",1,0,1,0,1,0,0,0,0
"14",14,"Bikita",2017,"03",0.752099711260931,0.911585582015152,0.50723785964178,"F",1,0,1,0,1,0,0,0,0
"15",15,"Bikita",2017,"04",0.351796033159804,0.475555433134834,0.252496366269247,"G",0,1,0,0,0,0,1,0,1
"16",16,"Bikita",2017,"05",0.267525084765674,0.431581167698936,0.152479227027519,"H",0,1,0,0,0,0,1,0,1
"17",17,"Bindura",2016,"10",0.104523600921577,0.115460378661251,0.0986760621131693,"A",0,0,0,0,0,0,1,1,1
"18",18,"Bindura",2016,"11",0.193284921554021,0.572856733397946,0.102047149086502,"B",0,1,0,0,0,0,1,0,1
"19",19,"Bindura",2016,"12",0.800016848726832,0.999200132743156,0.415913493781275,"C",0,0,1,1,1,0,0,0,0
"20",20,"Bindura",2017,"01",0.996463472352779,0.999592709640282,0.990260380103394,"D",0,0,0,1,1,1,0,0,0
"21",21,"Bindura",2017,"02",0.977305663988068,0.997987832243122,0.941577055751719,"E",0,0,0,1,1,1,0,0,0
"22",22,"Bindura",2017,"03",0.822611954521737,0.972970136543844,0.654163251998048,"F",0,0,1,1,1,0,0,0,0
"23",23,"Bindura",2017,"04",0.49334981066998,0.569169721869861,0.376587559671954,"G",1,1,0,0,0,0,0,0,1
"24",24,"Bindura",2017,"05",0.348208583817353,0.462319340728768,0.250785948188532,"H",0,1,0,0,0,0,1,0,1
"25",25,"Binga",2016,"10",0.092751115640444,0.0955288288088859,0.0901101856953631,"A",0,0,0,0,0,0,1,1,1
"26",26,"Binga",2016,"11",0.146938373467145,0.315769399467574,0.0982434680467672,"B",0,0,0,0,0,0,1,1,1
"27",27,"Binga",2016,"12",0.463663943652249,0.734210893863742,0.203963738988109,"C",1,1,0,0,0,0,0,0,1
"28",28,"Binga",2017,"01",0.941011496817379,0.981354094377204,0.814894124216541,"D",0,0,0,1,1,1,0,0,0
"29",29,"Binga",2017,"02",0.954305864452461,0.983613807721119,0.895361447342258,"E",0,0,0,1,1,1,0,0,0
"30",30,"Binga",2017,"03",0.837829030866747,0.984264962287648,0.610523063881403,"F",0,0,1,1,1,0,0,0,0
"31",31,"Binga",2017,"04",0.427747161221724,0.531275169936604,0.361350849390345,"G",1,1,0,0,0,0,0,0,1
"32",32,"Binga",2017,"05",0.234190806658966,0.371450577710553,0.149687595228709,"H",0,0,0,0,0,0,1,1,1
"33",33,"Bubi",2016,"10",0.0968015976566741,0.103985423750346,0.0915261878169438,"A",0,0,0,0,0,0,1,1,1
"34",34,"Bubi",2016,"11",0.150905438482864,0.258762415602015,0.0983839392317106,"B",0,0,0,0,0,0,1,1,1
"35",35,"Bubi",2016,"12",0.434771995576854,0.813719643095451,0.136310453715765,"C",1,0,0,0,1,0,0,0,1
"36",36,"Bubi",2017,"01",0.949236634246868,0.997238443110121,0.876275996930476,"D",0,0,0,1,1,1,0,0,0
"37",37,"Bubi",2017,"02",0.8855192094988,0.996664599585053,0.708209645647431,"E",0,0,1,1,1,0,0,0,0
"38",38,"Bubi",2017,"03",0.622304675796115,0.984307990806585,0.262358228672939,"F",1,0,0,0,1,0,0,0,1
"39",39,"Bubi",2017,"04",0.262275656919141,0.426323575850342,0.14698112580978,"G",0,1,0,0,0,0,1,0,1
"40",40,"Bubi",2017,"05",0.17667716736726,0.310538555555053,0.1111707922526,"H",0,0,0,0,0,0,1,1,1
"41",41,"Buhera",2016,"10",0.11839558118058,0.176515845473436,0.0923478646565954,"A",0,0,0,0,0,0,1,1,1
"42",42,"Buhera",2016,"11",0.288772095914946,0.49841307361149,0.0920413497258884,"B",0,1,0,0,0,0,1,0,1
"43",43,"Buhera",2016,"12",0.698431530880102,0.966651140633903,0.26587684648578,"C",1,0,0,0,1,0,0,0,1
"44",44,"Buhera",2017,"01",0.972813191639817,0.998871958572314,0.921371012882451,"D",0,0,0,1,1,1,0,0,0
"45",45,"Buhera",2017,"02",0.900423665834459,0.989382507451519,0.717619620582614,"E",0,0,1,1,1,0,0,0,0
"46",46,"Buhera",2017,"03",0.732074726980996,0.99706460326284,0.413033428538964,"F",1,0,1,0,1,0,0,0,0
"47",47,"Buhera",2017,"04",0.272825787788561,0.366483921564996,0.192688380205823,"G",0,0,0,0,0,0,1,1,1
"48",48,"Buhera",2017,"05",0.208921807866096,0.313367028281519,0.135351759375735,"H",0,0,0,0,0,0,1,1,1
"49",49,"Bulawayo",2016,"10",0.0955384639563865,0.100208396173494,0.0900569464405227,"A",0,0,0,0,0,0,1,1,1
"50",50,"Bulawayo",2016,"11",0.103087389582936,0.127671412171647,0.0908172989193849,"B",0,0,0,0,0,0,1,1,1
"51",51,"Bulawayo",2016,"12",0.444198966025765,0.912553559213038,0.094056164751,"C",1,0,0,0,1,0,0,0,1
"52",52,"Bulawayo",2017,"01",0.951833186257407,0.988812799962082,0.8747146230516,"D",0,0,0,1,1,1,0,0,0
"53",53,"Bulawayo",2017,"02",0.937421889150262,0.999139183365815,0.76292409351139,"E",0,0,1,1,1,0,0,0,0
"54",54,"Bulawayo",2017,"03",0.72899998106254,0.990320529140953,0.409100545412958,"F",1,0,1,0,1,0,0,0,0
"55",55,"Bulawayo",2017,"04",0.309655690549269,0.360872024186454,0.267890995176854,"G",0,0,0,0,0,0,1,1,1
"56",56,"Bulawayo",2017,"05",0.170305635920213,0.258857591191103,0.124105859185662,"H",0,0,0,0,0,0,1,1,1
"57",57,"Bulilima (North)",2016,"10",0.102337989994185,0.112299335241741,0.0964406568697523,"A",0,0,0,0,0,0,1,1,1
"58",58,"Bulilima (North)",2016,"11",0.162415511088429,0.20335819243483,0.113887191913856,"B",0,0,0,0,0,0,1,1,1
"59",59,"Bulilima (North)",2016,"12",0.470189345665229,0.854702646336404,0.10887207698079,"C",1,0,0,0,1,0,0,0,1
"60",60,"Bulilima (North)",2017,"01",0.869954354277673,0.9501184013537,0.749161228602206,"D",0,0,1,1,1,0,0,0,0
"61",61,"Bulilima (North)",2017,"02",0.852371799939828,0.964265969312898,0.621202166781269,"E",0,0,1,1,1,0,0,0,0
"62",62,"Bulilima (North)",2017,"03",0.567531223773829,0.9454667591587,0.199694142554064,"F",1,0,0,0,1,0,0,0,1
"63",63,"Bulilima (North)",2017,"04",0.192677140817122,0.232830946074513,0.162412525754091,"G",0,0,0,0,0,0,1,1,1
"64",64,"Bulilima (North)",2017,"05",0.125498008095667,0.172431056184914,0.107723670057094,"H",0,0,0,0,0,0,1,1,1
"65",65,"Centenary",2016,"10",0.0919342744737473,0.0979167604896557,0.088447292599311,"A",0,0,0,0,0,0,1,1,1
"66",66,"Centenary",2016,"11",0.154968995481784,0.39862687642485,0.0886635129907087,"B",0,0,0,0,0,0,1,1,1
"67",67,"Centenary",2016,"12",0.74306317341779,0.992475551360008,0.315555295032666,"C",1,0,0,0,1,0,0,0,1
